secuencia_rival_id,tipologia,cluster_trayectoria,period,match_time,point_order,ball_x_m,ball_y_m,tipo_finalizacion_tiro
11,T0,0.0,0,1000250,19,81.3700071301661,17.286973190251175,0
11,T0,0.0,0,1001010,20,83.84857980000001,19.679423999999997,0
11,T0,0.0,0,1001770,21,83.877762,21.88992,0
11,T0,0.0,0,1002250,22,80.84519999999999,23.648,0
11,T0,0.0,0,1003010,23,77.214,23.4688,0
12,T2,2.0,0,1133770,0,29.1249984,43.73007103999999,0
12,T2,2.0,0,1134010,1,31.5078,45.5232,0
12,T2,2.0,0,1134530,2,39.53798442576844,51.34243150047674,0
12,T2,2.0,0,1134770,3,41.2003844320649,52.616719455788335,0
12,T2,2.0,0,1135010,4,42.84282572805749,53.91036447640865,0
12,T2,2.0,0,1135530,5,45.817553399999994,56.3089344,0
12,T2,2.0,0,1135770,6,45.76346994,56.78007104,0
12,T2,2.0,0,1136010,7,45.73059942,57.155726720000004,0
12,T2,2.0,0,1136530,8,45.6767526,57.96684160000001,0
12,T2,2.0,0,1136770,9,45.4206,58.5024,0
12,T2,2.0,0,1137010,10,47.8074,57.6128,0
12,T2,2.0,0,1137530,11,54.029399999999995,55.1296,0
12,T2,2.0,0,1137770,12,56.895599999999995,53.9776,0
12,T2,2.0,0,1138250,13,64.09680496420854,48.77994200534189,0
12,T2,2.0,0,1138530,14,66.89549977315495,48.15233839480038,0
12,T2,2.0,0,1138770,15,69.35399131436488,47.681985032484015,0
12,T2,2.0,0,1139250,16,74.1450444,47.08931200000001,0
12,T2,2.0,0,1139530,17,76.24857204,47.0409312,0
12,T2,2.0,0,1139770,18,77.89146972000002,46.9942816,0
12,T2,2.0,0,1140250,19,81.2272716,46.847008,0
12,T2,2.0,0,1140530,20,82.6608,45.5488,0
12,T2,2.0,0,1140770,21,84.2112,45.2672,0
12,T2,2.0,0,1141250,22,87.312,44.7104,0
12,T2,2.0,0,1141530,23,89.1276,44.3776,0
13,T1,1.0,0,1229770,0,38.73076272000001,16.969769600000003,0
13,T1,1.0,0,1230010,1,38.18497296,17.3532128,0
13,T1,1.0,0,1230250,2,37.59088089719693,17.810198017043984,0
13,T1,1.0,0,1230530,3,36.868877137652724,18.400591251121817,0
13,T1,1.0,0,1230770,4,36.02630579814737,19.064226352311103,0
13,T1,1.0,0,1231010,5,35.109481200000005,19.8722432,0
13,T1,1.0,0,1231250,6,34.5515412,20.453363200000002,0
13,T1,1.0,0,1231530,7,33.19727292,20.999589120000003,0
13,T1,1.0,0,1231770,8,31.323871560000008,21.66802816,0
13,T1,1.0,0,1232010,9,29.497049519999997,22.270046720000003,0
13,T1,1.0,0,1232250,10,27.706606800000003,22.806924800000004,0
13,T1,1.0,0,1232530,11,23.511000000000003,24.1664,0
13,T1,1.0,0,1232770,12,21.226200000000002,24.928,0
13,T1,1.0,0,1233010,13,18.9516,25.696,0
13,T1,1.0,0,1233250,14,16.677,26.4576,0
13,T1,1.0,0,1233530,15,14.0148,27.3472,0
13,T1,1.0,0,1233770,16,11.7402,28.1088,0
14,T3,3.0,0,1290250,0,40.6635852,40.6343232,0
14,T3,3.0,0,1290530,1,42.915343320000005,38.68184512,0
14,T3,3.0,0,1290770,2,46.04293633098092,35.45897529898329,0
14,T3,3.0,0,1291010,3,47.6772177550294,34.24214525439802,0
14,T3,3.0,0,1291250,4,49.37400784951166,33.07347843186368,0
14,T3,3.0,0,1291530,5,53.112287400000014,29.91344639999999,0
14,T3,3.0,0,1291770,6,54.4719474,29.482726399999994,0
14,T3,3.0,0,1292010,7,56.118275340000004,31.129994240000002,0
14,T3,3.0,0,1292250,8,57.72387162000001,32.80722432,0
14,T3,3.0,0,1292530,9,58.559426040000005,33.818429439999996,0
14,T3,3.0,0,1292770,10,58.0782186,33.6298496,0
15,T2,2.0,0,1296530,0,34.217532,33.4388352,0
15,T2,2.0,0,1297010,1,34.3675536,33.31784576,0
15,T2,2.0,0,1297250,2,34.4786112,33.31342592,0
15,T2,2.0,0,1297770,3,36.975,33.5168,0
15,T2,2.0,0,1298250,4,47.884173555864514,34.762578849045475,0
15,T2,2.0,0,1298530,5,51.500017368129505,35.28156788692674,0
15,T2,2.0,0,1299010,6,52.88084109132759,36.421622362144525,0
15,T2,2.0,0,1299530,7,48.825788706,38.612907328000006,0
15,T2,2.0,0,1300010,8,49.95255102488327,45.41097113204794,0
15,T2,2.0,0,1300250,9,49.670716546856795,47.04257712778005,0
15,T2,2.0,0,1300770,10,49.9941474,51.8202752,0
15,T2,2.0,0,1301250,11,49.14188334,53.129368320000005,0
15,T2,2.0,0,1301530,12,48.82661562,53.142933760000005,0
15,T2,2.0,0,1302010,13,48.099208793453535,52.90124267910762,0
15,T2,2.0,0,1302530,14,47.66332499999999,52.3464256,0
15,T2,2.0,0,1302770,15,47.790825,52.3528256,0
15,T2,2.0,0,1303250,16,51.6739905,54.00926528,0
15,T2,2.0,0,1303770,17,55.659105000000004,55.7669184,0
15,T2,2.0,0,1304250,18,62.82441522728854,58.94112260928114,0
15,T2,2.0,0,1304530,19,64.89628976867562,59.70673870173855,0
15,T2,2.0,0,1305010,20,67.9803684,61.23874496,0
15,T2,2.0,0,1305530,21,73.87688844,60.152975936000004,0
15,T2,2.0,0,1305770,22,76.38315492000001,59.460090048000005,0
15,T2,2.0,0,1306250,23,81.56978760000001,57.99114944,0
16,T3,3.0,0,1377770,0,44.8392,58.8032,0
16,T3,3.0,0,1378010,1,43.5336,59.3216,0
16,T3,3.0,0,1378250,2,42.2382,59.84,0
16,T3,3.0,0,1378530,3,40.7184,60.4416,0
16,T3,3.0,0,1378770,4,39.423,60.96,0
16,T3,3.0,0,1379010,5,37.525800000000004,60.256,0
16,T3,3.0,0,1379250,6,35.5062,59.3024,0
16,T3,3.0,0,1379530,7,33.1602,58.1952,0
16,T3,3.0,0,1379770,8,31.140600000000003,57.248,0
16,T3,3.0,0,1380010,9,29.121,56.2944,0
16,T3,3.0,0,1380250,10,27.1116,55.3472,0
16,T3,3.0,0,1380530,11,24.7554,54.24,0
16,T3,3.0,0,1381010,12,20.726399999999998,52.3392,0
16,T3,3.0,0,1381250,13,18.7068,51.3856,0
16,T3,3.0,0,1381530,14,13.311712190536317,49.1512623970903,0
16,T3,3.0,0,1381770,15,12.186269829771012,48.557980650677095,0
16,T3,3.0,0,1382010,16,11.030245098710564,47.922572547114044,0
16,T3,3.0,0,1382250,17,9.11285136,46.9124032,0
16,T3,3.0,0,1382530,18,8.985351360000001,46.7940032,0
16,T3,3.0,0,1382770,19,9.76414018006523,46.532187831419066,0
16,T3,3.0,0,1383010,20,10.103967872862205,46.380900738726325,0
16,T3,3.0,0,1383250,21,10.36209060894125,46.26329243870701,0
16,T3,3.0,0,1383530,22,11.694635783999999,45.64159488,0
16,T3,3.0,0,1383770,23,10.796608199999998,46.40260479999999,0
17,T1,1.0,0,1528530,0,46.65262215576848,3.760674375762752,0
17,T1,1.0,0,1528770,1,47.37518656030978,4.868678037805898,0
17,T1,1.0,0,1529010,2,48.10199903666488,5.921556155973629,0
17,T1,1.0,0,1529250,3,49.9909038,8.198252799999999,0
17,T1,1.0,0,1529530,4,49.436023799999994,7.6753728,0
17,T1,1.0,0,1529770,5,47.84848458,6.31373248,0
17,T1,1.0,0,1530010,6,46.623380940000004,5.22848064,0
17,T1,1.0,0,1530250,7,45.40792548,4.12028288,0
17,T1,1.0,0,1530530,8,44.0042382,2.8342592,0
17,T1,1.0,0,1530770,9,42.01895455735695,1.4006794619016998,0
17,T1,1.0,0,1531010,10,42.0779441421057,1.827505687413597,0
17,T1,1.0,0,1531250,11,42.1747415307491,2.227065487787354,0
17,T1,1.0,0,1531530,12,42.3462486,2.8891072,0
17,T1,1.0,0,1531770,13,42.5563686,2.9543872,0
17,T1,1.0,0,1532010,14,44.576206260000006,2.46898752,0
17,T1,1.0,0,1532250,15,47.57831718,1.7148793599999999,0
17,T1,1.0,0,1532530,16,50.02006356,1.04195712,0
17,T1,1.0,0,1532770,17,49.89204540000001,0.8879808000000001,0
18,T1,1.0,0,1535250,0,41.9526,8.2048,0
18,T1,1.0,0,1535530,1,41.973,8.192,0
18,T1,1.0,0,1536010,2,41.9934,8.1664,0
18,T1,1.0,0,1536250,3,42.103051951973356,7.2311171756776105,0
18,T1,1.0,0,1536530,4,42.12756637829991,7.432756464063562,0
18,T1,1.0,0,1537010,5,42.29106660000001,7.674451199999999,0
18,T1,1.0,0,1537250,6,38.29869446715554,9.782468576448913,0
18,T1,1.0,0,1537530,7,36.00439204364436,11.829062598699132,0
18,T1,1.0,0,1538010,8,31.112898636000004,15.907265151999995,0
18,T1,1.0,0,1538250,9,30.352432740000005,16.463902079999993,0
18,T1,1.0,0,1538530,10,29.130873599999997,16.67097024,0
18,T1,1.0,0,1539010,11,27.556401600000004,16.68316544,0
18,T1,1.0,0,1539250,12,26.717064000000004,16.6066496,0
18,T1,1.0,0,1539770,13,25.591800000000003,16.416,0
18,T1,1.0,0,1540010,14,24.9084,16.384,0
18,T1,1.0,0,1540250,15,23.571165613940142,15.910055009945197,0
18,T1,1.0,0,1540770,16,22.61355401876964,16.00960114845691,0
18,T1,1.0,0,1541010,17,22.0996056,16.123807999999997,0
18,T1,1.0,0,1541250,18,21.3886656,16.224287999999998,0
18,T1,1.0,0,1541770,19,17.580887280000002,19.304310400000002,0
18,T1,1.0,0,1542010,20,11.356578875027376,23.030624603711473,0
18,T1,1.0,0,1542250,21,10.56661481741592,24.064614218593043,0
18,T1,1.0,0,1542770,22,6.102393779999999,29.6404224,0
18,T1,1.0,0,1543010,23,5.91267378,30.3809024,0
19,T3,3.0,0,1610250,0,26.6934,52.6144,0
19,T3,3.0,0,1610530,1,28.0704,53.0944,0
19,T3,3.0,0,1610770,2,29.2536,53.5168,0
19,T3,3.0,0,1611010,3,30.436799999999998,53.9328,0
19,T3,3.0,0,1611250,4,31.767730074594645,54.520719887637235,0
19,T3,3.0,0,1611530,5,32.69344459827796,54.65362194952894,0
19,T3,3.0,0,1611770,6,34.92162621150606,52.61120097774495,0
19,T3,3.0,0,1612010,7,35.73964189979737,52.69015833406431,0
19,T3,3.0,0,1612250,8,36.41391765843711,52.69608292298755,0
19,T3,3.0,0,1612530,9,38.965575084,49.01927321600001,0
19,T3,3.0,0,1612770,10,39.45225421200001,48.804953088000005,0
19,T3,3.0,0,1613010,11,39.38775451200001,49.663123968,0
19,T3,3.0,0,1613250,12,39.627363120000005,49.60324352000001,0
19,T3,3.0,0,1613530,13,40.47737808,48.5896448,0
19,T3,3.0,0,1613770,14,40.6677672,48.563072000000005,0
19,T3,3.0,0,1614010,15,41.004000000000005,48.3968,0
19,T3,3.0,0,1614250,16,38.7804,47.008,0
20,T2,2.0,0,1649010,0,38.4948,45.0176,1
20,T2,2.0,0,1649530,1,40.902,42.2592,1
20,T2,2.0,0,1650010,2,43.1256,39.7184,1
20,T2,2.0,0,1650770,3,40.36601013870699,44.01934115636996,1
20,T2,2.0,0,1651250,4,38.94392640000001,46.624313599999994,1
20,T2,2.0,0,1651770,5,39.94276524780167,49.36853660542839,1
20,T2,2.0,0,1652250,6,41.57934936,52.69509504,1
20,T2,2.0,0,1653010,7,44.17521876000001,55.258408960000004,1
20,T2,2.0,0,1653530,8,47.878942800000004,55.9039488,1
20,T2,2.0,0,1654010,9,54.774,57.0112,1
20,T2,2.0,0,1654530,10,59.7414,57.888,1
20,T2,2.0,0,1655010,11,64.3212,58.6944,1
20,T2,2.0,0,1655770,12,71.5836,59.9808,1
20,T2,2.0,0,1656250,13,77.25954167108921,61.68099328546733,1
20,T2,2.0,0,1656770,14,81.00238200000001,62.236474879999996,1
20,T2,2.0,0,1657250,15,84.5715762,61.143383808,1
20,T2,2.0,0,1657770,16,87.98607720000001,59.802459648,1
20,T2,2.0,0,1658530,17,89.76,50.7904,1
20,T2,2.0,0,1659010,18,89.7192,41.4464,1
20,T2,2.0,0,1659530,19,89.0358,35.5648,1
20,T2,2.0,0,1660010,20,87.4548,36.3776,1
20,T2,2.0,0,1660770,21,85.388001837706,39.07257251534479,1
20,T2,2.0,0,1661250,22,83.25444363997288,39.303358234134166,1
